Display Title,Display Artist,Creation Date,Media & Support,Credit Line,Current Location,Specific Location,Department,Council District
Galaxy Way,Rolondo Briseno,2004,Acrylic Sheet,,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport  : Termalink Train Station : Terminals D and ",HAS,B
Leopard Sky,Sheila Klein,2004,Mixed Media on Ceiling,,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport  : Terminal E : Passenger Pick-Up",HAS,B
Time Line,Ben Woitena,2004,"Painted Steel, Reflective Tape",,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport  : Outside : Between Terminals D and E",HAS,B
Skywall,Bill Fitzgibbons,2004,"Electronics, Lights on Aluminum",,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport  : Terminal E : Outside : International Arriv",HAS,B
Beads,Jim Hirschfield and Sonya Ishii,2009,Powder Coated Aluminum and Enameled Steel,,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport  : Terminal E : International Arrivals : Pass",HAS,B
Travel Light,The Art Guys,2004,"Cast Resin, Electronically Controlled Lights",,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport  : Terminal E : International Arrivals : Bagg",HAS,B
Airdrops,Kate Petley,2004,"Plexiglas, Resin, Glass, Steel",,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport  : Terminal E : International Arrivals",HAS,B
Over Houston,Gordon Huether,2009,Art Glass,,"7800 Airport Boulevard, Houston, TX 77061",Hobby Airport - APM Skybridge,HAS,I
Take-Off,Carter Ernst and Paul Kittleson,2009,Stainless Steel and landscaping,,"7800 Airport Boulevard, Houston, TX 77061",Hobby Airport - Median along street entrance,HAS,I
Vector HH,Luca Buvoli,2010,Steel and cast acrylic sheets,,"7800 Airport Boulevard, Houston, TX 77061",Hobby Airport - Baggage claim escalators,HAS,I
Houston Can You Hear Me?,Hana Hillerova,2010,powder coated aluminum,,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport  : Terminal A : Automatic People Mover",HAS,B
Radiant Fountains,Dennis Oppenheim,2010,"Stainless Steel, programmed LED lighting",,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport  : John F. Kennedy Blvd. near Rankin Rd.",HAS,B
Hot Rod Mustang,Tim Glover,2014,"Stainless steel, rubber",,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Brick & Mortar,Jessica Kreutter,2013,"Ceramic, glaze, and brick",,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Light as a Feather - Heavy as a Freight Train,Ed Wilson,1999,Cast iron and steel,,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Don't Lie Bouquet ,Karin Broker,2006-2012,Construciton and found object,,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
"Golden Pavilion, Edition 1 of 5",Jonathan Seliger,2012,"Gold plated polished bronze, lacquer and nickel plated bronze rod",,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Doubles,David Medina,2014,Bronze,,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
"Yes, Please",Scott Proctor,2014,Glazed ceramic/earthenware,,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Transchromie à six Éléments 65/75,Carlos Cruz-Diez,2010,Plexiglas,,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Untitled,Mariano Dal Verme,2013,Graphite and paper,,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
"Passages 1,2,3,4",Leslie Elkins and Bert Samples,2004,Etched Glass,,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport  : Skybridges between Terminals D and E",HAS,B
"One Bounce, Two Bounces...",Sandra Fiedorek,2004,Paint on Glass,,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport  : Terminal E : International Arrivals : Bagg",HAS,B
Wind Trees,George Sacaris,2008,Painted Aluminum,,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport  : Consolidated Rental Car Facility",HAS,B
T.N.S. Clute,Michael Horvath,2013,,,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
T.N.S. Stephen Fuller Austin,Michael Horvath,2013,,,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Tumbling Match 72,Meredith Jack,2007,Bronze,,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Barrier to the Unknown,Meredith Jack,2014,Stablized foam and wood,,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Here We Are,Kyle Olson,2012,"Carved wood, cast lead, bubble gum
",,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Burning Desires,Kyle Olson,2012,Daguerreotype and bronzed matches on cast resin,,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Cleanliness is next to Hot Rodliness,Katie Pell,2007,"Metal, paint, fabric",,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Melanie Safka Commemorative Toaster,Katie Pell,2006,"Wood, metal, paint",,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Tidal Wave,Masaru Takiguchi,2002,Ash,,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Chatter Box II,Masaru Takiguchi,2002,Walnut,,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Movement,Elena Cusi-Wortham,2000-2003,Ceramic,,"912 Prairie Street, Houston, TX 77022",Downtown,HDMD,I
Medallions,Toby Topek,2000,Marble Tiles on Sidewalk,Cotswold Project,"Texas Ave. : at Fannin, San Jacinto, La Branch",,HDMD,I
Puzzle Pavers,Leamon Green,2000?,Concrete,Cotswold Project,Prarie St. : at Austin St.,,HDMD,I
Water Table,Malou Flato,2000,Ceramic,,"301 Milam Street Houston, TX 77002",Market Square Park,HDMD,I
"Houston Waters I, II; Bayou",Brad J. Goldberg,2003,"Granite, Limestone",Costswold Project,Main Street at Congress and Preston : 493 L,,HDMD,I
Untitled,Suzanne E. Sellers,2006,Hand painted and fired ceramic tiles on Concrete Board,,"6515 Lyons St. Houston, TX 77020",Fire Station 27 - exterior,HFD,H
APRECI8   (Appreciate),Kirk Baxter,2011,"Stainless steel firepole, concrete, water, acrylic, drywall",,"1919 Louisiana St. Houston, TX 77019",Fire Station 8,HFD,I
Fire and Water,Jeff G. Smith,2009,Stained Glass,,"7026 Stella Link Rd. Houston, TX 77025",Fire Station 37,HFD,C
Tree with Squirrel,Jeff G. Smith,2009,Stained Glass,,"7026 Stella Link Rd. Houston, TX 77025",Fire Station 37,HFD,C
Blossoms of Kashmere Gardens,Reginald Adams,2009,Industrial and hand-made ceramic tile on Concrete,,"4802 Lockwood Drive, Houston, TX 77026",Kashmere Multi-Service Center,HHS,B
Jonah and the Whale,Carroll Harris Simms,1977,Bronze on Brick Base,,"4014 Market Street, Houston, TX 77020",Fifth Ward Multi Service Center,HHS,B
Axis,Frank McGuire,1978,Painted Steel,,"170 Heights Blvd. Houston, TX 77007",West End Multi-Service Center - Outside,HHS,H
Ladder of Hope,Floyd Newsum,2005,Painted Stainless Steel,,"6719 West Montgomery Road, Houston, TX 77091",Acres Homes Multi-Service Center,HHS,B
Lyons Avenue (Untitled),Fletcher Mackey,2005,"Ceramic, Steel, Electronic Sign",,"5602 Lyons Avenue, Houston, TX 77020",Lyons Health Center,HHS,H
Fuego Y Agua,Antonio Briones,2006,Terrazzo,,"6441 High Star Drive, Houston, TX 77074",Southwest Multi-Service Center,HHS,F
Arcadia,Arielle Masson,2006,Image Tempered Composite Glass Panels,,"170 Heights Blvd. Houston, TX 77007",West End Multi-Service Center - Clinic,HHS,H
Sheltering Growth,Koryn Rolstad,2009,"Powder coated aluminum, sheet aluminum, Lexan, and radiant acrylic",,"9720 Spaulding Street, Houston, TX 77016",Northeast Multi-Service Center,HHS,B
Ronald E. McNair,Elena Cusi-Wortham,2007,Photograph on Enameled Photopanels,,"2202 St Emanuel St, Houston, TX 77004",McNair Police Station,HPD,I
