Display Title,Display Artist,Creation Date,Media & Support,Credit Line,Current Location,Specific Location,Department,Council District
The Dancer,Marcello Mascherini,1950,Bronze on Concrete Base,Given to the City of Houston by Mr. & Mrs. Robert D. Straus,"615 Louisiana St. Houston, TX 77002 ",Jesse J. Jones Hall - Outside,CEF,I
George Bush Presidential Monument,Charles Fagan,2004,Bronze,Greater Houston Community Foundation,"400 Texas Ave. Houston, TX 77002",,CEF,I
Syncronicity of Color,Margo Sawyer,2008,Anodized Aluminum,,"1500 McKinney St. Houston, TX 77010",Parking Garage,CEF,I
Axis Mundi,Benito Huerta,1996,"Acrylic, dye and ink on canvas","Gift of The Museum of Fine Arts, Houston with funds provided by Lila Wallace-Reader's Digest fund.  Additional support has been provided by the Charles E. Culpeper Foundation, the Edward and Betty Marcus Foundation, and the National Endowment for the Arts","333 S. Jensen Dr. Houston, TX  77003",Theatre,CEF,H
Power of Houston,,2004,Quilt,"A gift to the City of Houston from Quilts, Inc.","1001 Avenida de Las Americas Houston, TX 77010",George R. Brown Convention Center - 2nd floor Visitors Center,CEF,I
Christoph Eschenbach Plaque,Peter Boyle,1999,Brass,Purchased by the City of Houston,"615 Louisiana St. Houston, TX 77002 ",Jesse J. Jones Hall,CEF,I
Gemini II,Richard Lippold,1965-1966,Anodized Aluminum and 22k gold-plated stainless steel cables,Commissioned by the Houston Endowment,"615 Louisiana St. Houston, TX 77002 ",Jesse J. Jones Hall - Lobby,CEF,I
Pair of Horses,Robert Fowler,1963,Cor-Ten Steel,Donated by Cleburn Interests,"615 Louisiana St. Houston, TX 77002 ",Jesse J. Jones Hall - Outside Under Staircase,CEF,I
Sweeney Clock,E. Howard & Co.,1877,"Iron, Wood, Clockwork",Donated to the City of Houston by the Sweeny Family,700 Bagby St. Houston TX 77002,Sweeny Clock Triangle,CEF,I
Lily Pads,John E. Alexander,1977,Oil on Canvas,Donated to the City of Houston by Mrs. Susan McAshan,"615 Louisiana St. Houston, TX 77002 ",Jesse J. Jones Hall - Mezzanine,CEF,I
The Quilting Party,John Biggers,1980,Acrylic on commercially gessoed canvas,Donated to the City of Houston by Mrs. Susan McAshan,"500 Texas Ave. Houston, TX 77002",Wortham Theater Center,CEF,I
Untitled,Albert Paley,1987,Paint on Steel,,"500 Texas Ave. Houston, TX 77002",Wortham Theater Center,CEF,I
