Display Title,Display Artist,Creation Date,Media & Support,Credit Line,Current Location,Specific Location,Department,Council District
Laura,,1914,Marble,"Donated by Mrs. Mary B. Hill in 1914 as a memorial to her daughter, Miss Abbie Hill.","500 McKinney St. Houston, TX 77002",Central Library - Julia Ideson Building,HPL,I
Sam Houston,Thurston J. Donnellan,1927,Oil on Canvas,,"500 McKinney St. Houston, TX 77002",Central Library - Julia Ideson Building,HPL,I
Hen & Brood Of Chickens,Raymon Bigot,1928,Wood,Donated to the Library by Dr. and Mrs. M.L. Graves in 1928.,"500 McKinney St. Houston, TX 77002",Central Library - Julia Ideson Building,HPL,I
Wild Boar,,,Wood,Donated to the Library by Mrs. E. L. Lovett in 1928,"500 McKinney St. Houston, TX 77002",Central Library - Julia Ideson Building,HPL,I
Don Quixote,Talavera Pottery,1929,Ceramic Tiles,Donated to the Library by Senorita Esperanza Velasquez Bringas in 1929 in appreciation of the Spanish architecture of the central library after her visit in 1928.,"500 McKinney St. Houston, TX 77002",Central Library - Julia Ideson Building,HPL,I
Spider Lilies,Ruth Pershing Uhler,1932,Oil on Canvas,,"500 McKinney St. Houston, TX 77002",Central Library - Julia Ideson Building,HPL,I
George Washington Bust after Houdon,Frank A. Teich,,Plaster,Donated by the Daughters of the american Revolution in 1932.,"500 McKinney St. Houston, TX 77002",Central Library - Julia Ideson Building,HPL,I
The Venus De Milo,,1933,Plaster,,"10115 Kleckley Drive, Houston, TX 77075",Old Bracewell Library,HPL,I
L'Aurora,,1934,Oil on Canvas,,"500 McKinney St. Houston, TX 77002",Central Library - Julia Ideson Building,HPL,I
Julia Ideson,Julian Meunch,1934,Oil on Canvas,,"500 McKinney St. Houston, TX 77002",Central Library - Julia Ideson Building,HPL,I
Houston Lyceum Committee,Ruth Pershing Uhler,1935,Oil on Canvas (est.) mounted to masonry wall,"Public Works of Art Project, 1933-34, as part of the Works Progress Administration ","500 McKinney St. Houston, TX 77002",Central Library - Julia Ideson Building,HPL,I
Texas Capital Of 1837,Emma Richardson Cherry,1936,Paint on Canvas mounted to wall,,"500 McKinney St. Houston, TX 77002",Central Library - Julia Ideson Building,HPL,I
Texas President's House,Emma Richardson Cherry,1936,Paint on Canvas mounted to wall,,"500 McKinney St. Houston, TX 77002",Central Library - Julia Ideson Building,HPL,I
Arlington,Emma Richardson Cherry,1936,Mural on Canvas,,"500 McKinney St. Houston, TX 77002",Central Library - Julia Ideson Building,HPL,I
Beauvoir,Emma Richardson Cherry,1936,Mural on Canvas,,"500 McKinney St. Houston, TX 77002",Central Library - Julia Ideson Building,HPL,I
Adele Briscoe Looscan,Emma Richardson Cherry,1936,Oil on Canvas,"Presented to the Houston Public Library by the Ladies Reading Club, 1936","2510 Willowick Road, Houston, TX 77027",Looscan Neighborhood Library,HPL,G
Mrs. H.F. Ring,Emma Richardson Cherry,1937,Oil on Canvas,,"8835 Long Point Road, Houston, TX 77055",Ring Branch Library - Behind checkout,HPL,A
Park Place Branch,Robert Alexander Irvine,1938,Colored Pencil on Paper,,"8145 Park Place Boulevard, Houston, TX 77017",Park Place Branch Library,HPL,I
Galveston Bay/Harbor,Verner White,1903,Oil on Canvas,Donated to the Library by Mrs. Verner White in 1941,"500 McKinney St. Houston, TX 77002",Central Library - Julia Ideson Building,HPL,I
Norma Meldrum,,,Oil on Canvas,,"500 McKinney St. Houston, TX 77002",Central Library - Julia Ideson Building,HPL,I
Winston Churchill,William M. McVey,1966,Bronze,,"2999 South Wayside Dr. Houston, TX 77023",Gragg Building,HPL,I
Arnold Hillendahl & His Mule Jo,Nell Pearson,1971,Oil on Canvas,,"2436 Gessner Rd, Houston, TX 77080",Hillendahl Branch Library,HPL,A
HM Series #2,David Hickman,1974,Acrylic on Canvas,,"2999 South Wayside Dr. Houston, TX 77023",Gragg Building - Recreation and Wellness,HPL,I
#19,David Hickman,1973,Acrylic on Canvas,,"2999 South Wayside Dr. Houston, TX 77023",Gragg Building - Recreation and Wellness,HPL,I
Heights Branch Library,Charles Gilpen,1976,Watercolor,,"1302 Heights Boulevard, Houston, TX 77008",Heights Branch Library,HPL,H
Spring,Chaim Goldberg,1976-77,Wood (Oak),,"2999 South Wayside Dr. Houston, TX 77023",Gragg Building,HPL,I
Kendall Library,Harold Lenz,1979,Oil on Canvas,,"14330 Memorial Dr, Houston, Texas 77079",Kendall Branch Library,HPL,G
